100, 40, 40, 5, 0 
108, 20, 20, 5, 0 
117, 11, 11, 5, 0 
126, 6, 6, 5, 0 
136, 4, 4, 5, 0 
147, 3, 3, 5, 0 
159, 2, 2, 5, 0 
172, 2, 2, 5, 0 
186, 2, 2, 5, 0 
201, 2, 2, 5, 0 
217, 2, 2, 5, 0 
235, 2, 2, 5, 0 
254, 2, 2, 5, 0 
275, 2, 2, 5, 0 
297, 2, 2, 5, 0 
321, 2, 2, 5, 0 
347, 2, 2, 5, 0 
374, 2, 2, 5, 0 
403, 2, 2, 5, 0 
434, 2, 2, 5, 0 
468, 2, 2, 5, 0 
504, 2, 2, 5, 0 
542, 2, 2, 5, 0 
582, 2, 2, 5, 0 
625, 2, 2, 5, 0 
670, 2, 2, 5, 0 
718, 2, 2, 5, 0 
768, 2, 2, 5, 0 
821, 2, 2, 5, 0 
877, 2, 2, 5, 0 
935, 2, 2, 5, 0 
996, 2, 2, 5, 0 
1059, 2, 2, 5, 0 
1124, 2, 2, 5, 0 
1192, 2, 2, 5, 0 
1262, 2, 2, 5, 0 
1333, 2, 2, 5, 0 
1406, 2, 2, 5, 0 
1480, 2, 2, 5, 0 
1555, 2, 2, 5, 0 
1631, 2, 2, 5, 0 
1708, 2, 2, 5, 0 
1785, 2, 2, 5, 0 
1862, 2, 2, 5, 0 
1939, 2, 2, 5, 0 
2015, 2, 2, 5, 0 
2090, 2, 2, 5, 0 
2164, 2, 2, 5, 0 
2236, 3, 3, 5, 0 
2306, 4, 4, 5, 0 
2374, 6, 6, 5, 0 
2439, 9, 9, 5, 0 
2500, 14, 14, 5, 0 
2557, 23, 23, 5, 0 
2607, 39, 39, 5, 0 
2648, 67, 67, 5, 0 
2674, 117, 117, 5, 0 
2676, 205, 205, 5, 0 
2638, 360, 360, 5, 0 
2534, 627, 627, 5, 0 
2326, 1060, 1060, 5, 0 
1976, 1684, 1684, 6, 0 
1487, 2387, 2387, 7, 0 
961, 2812, 2812, 9, 0 
565, 2588, 2588, 12, 0 
359, 1879, 1879, 15, 0 
274, 1175, 1175, 17, 0 
242, 686, 686, 17, 0 
235, 390, 390, 17, 0 
