1621, 41, 41, 3, 1 
1672, 45, 45, 3, 1 
1721, 51, 51, 3, 1 
1768, 59, 59, 3, 1 
1812, 69, 69, 3, 1 
1853, 82, 82, 3, 1 
1889, 99, 99, 3, 1 
1920, 121, 121, 3, 1 
1944, 150, 150, 3, 1 
1959, 187, 187, 3, 1 
1964, 235, 235, 3, 1 
1957, 295, 295, 3, 1 
1934, 370, 370, 3, 1 
1893, 461, 461, 3, 1 
1831, 566, 566, 3, 1 
1748, 681, 681, 4, 1 
1646, 796, 796, 6, 1 
1528, 896, 896, 9, 1 
1403, 965, 965, 15, 2 
1280, 988, 988, 27, 4 
1168, 960, 960, 50, 8 
1074, 884, 884, 91, 17 
1001, 770, 770, 157, 34 
950, 634, 634, 248, 61 
920, 491, 491, 349, 96 
909, 357, 357, 428, 126 
914, 247, 247, 452, 135 
932, 170, 170, 416, 119 
960, 121, 121, 344, 89 
995, 91, 91, 264, 58 
1035, 73, 73, 194, 35 
1078, 61, 61, 139, 20 
1124, 53, 53, 98, 11 
1172, 48, 48, 68, 6 
1221, 45, 45, 47, 4 
1271, 43, 43, 33, 3 
1322, 42, 42, 23, 2 
1374, 42, 42, 16, 2 
1426, 42, 42, 12, 2 
1478, 43, 43, 9, 2 
1530, 45, 45, 7, 2 
1581, 48, 48, 5, 2 
1631, 52, 52, 4, 2 
1679, 58, 58, 3, 2 
1725, 66, 66, 3, 2 
1768, 76, 76, 3, 2 
1808, 89, 89, 3, 2 
1844, 106, 106, 3, 2 
1874, 128, 128, 3, 2 
1898, 156, 156, 3, 2 
1914, 192, 192, 3, 2 
1920, 237, 237, 3, 2 
1915, 293, 293, 3, 2 
1895, 362, 362, 3, 2 
1859, 445, 445, 3, 2 
1804, 540, 540, 3, 2 
1730, 643, 643, 3, 2 
1639, 746, 746, 4, 3 
1533, 837, 837, 6, 5 
1420, 901, 901, 10, 9 
1307, 924, 924, 17, 18 
1203, 898, 898, 30, 37 
1115, 820, 820, 52, 75 
1048, 693, 693, 85, 142 
1005, 527, 527, 125, 238 
987, 350, 350, 158, 328 
992, 204, 204, 163, 348 
1017, 116, 116, 140, 279 
1054, 74, 74, 105, 179 
1098, 55, 55, 75, 102 
1145, 45, 45, 52, 55 
1195, 40, 40, 36, 29 
1246, 37, 37, 25, 15 
1298, 36, 36, 17, 8 
1351, 36, 36, 12, 4 
1404, 36, 36, 9, 2 
1457, 36, 36, 7, 1 
1510, 37, 37, 5, 1 
1563, 39, 39, 4, 1 
1615, 42, 42, 3, 1 
1666, 46, 46, 3, 1 
1715, 52, 52, 3, 1 
1762, 60, 60, 3, 1 
1806, 70, 70, 3, 1 
1847, 83, 83, 3, 1 
1883, 100, 100, 3, 1 
1914, 122, 122, 3, 1 
1938, 151, 151, 3, 1 
1953, 188, 188, 3, 1 
1958, 235, 235, 3, 1 
1951, 295, 295, 3, 1 
1928, 369, 369, 3, 1 
1888, 459, 459, 3, 1 
1827, 563, 563, 3, 1 
1745, 676, 676, 4, 1 
1644, 789, 789, 5, 1 
1528, 888, 888, 8, 1 
1405, 957, 957, 14, 2 
1283, 981, 981, 25, 4 
1172, 955, 955, 46, 8 
1078, 881, 881, 83, 17 
1005, 770, 770, 143, 34 
954, 636, 636, 226, 61 
924, 494, 494, 319, 96 
913, 361, 361, 392, 126 
917, 252, 252, 416, 136 
935, 174, 174, 385, 121 
963, 124, 124, 320, 91 
998, 93, 93, 247, 60 
1038, 74, 74, 182, 37 
1081, 62, 62, 131, 21 
1127, 54, 54, 92, 12 
1175, 49, 49, 64, 7 
1224, 46, 46, 45, 4 
1274, 44, 44, 31, 3 
1325, 43, 43, 22, 2 
1377, 43, 43, 16, 2 
1429, 43, 43, 12, 2 
1481, 44, 44, 9, 2 
1532, 46, 46, 7, 2 
1583, 49, 49, 5, 2 
1632, 53, 53, 4, 2 
1680, 59, 59, 3, 2 
1726, 67, 67, 3, 2 
1769, 77, 77, 3, 2 
1809, 90, 90, 3, 2 
1845, 107, 107, 3, 2 
1875, 129, 129, 3, 2 
1899, 157, 157, 3, 2 
1914, 193, 193, 3, 2 
1919, 238, 238, 3, 2 
1913, 295, 295, 3, 2 
1893, 364, 364, 3, 2 
1856, 447, 447, 3, 2 
1801, 542, 542, 3, 2 
1727, 645, 645, 3, 2 
1635, 748, 748, 4, 3 
1529, 838, 838, 6, 5 
1416, 900, 900, 10, 9 
1304, 922, 922, 17, 18 
1201, 895, 895, 30, 37 
1113, 816, 816, 52, 75 
1046, 689, 689, 85, 142 
1003, 524, 524, 125, 237 
986, 348, 348, 157, 325 
992, 203, 203, 162, 343 
1017, 116, 116, 139, 274 
1054, 75, 75, 105, 176 
1098, 56, 56, 75, 100 
1145, 46, 46, 52, 54 
1194, 41, 41, 36, 28 
1245, 38, 38, 25, 15 
1297, 37, 37, 17, 8 
1350, 37, 37, 12, 4 
1403, 37, 37, 9, 2 
1456, 37, 37, 7, 1 
1509, 38, 38, 5, 1 
1561, 40, 40, 4, 1 
1613, 43, 43, 3, 1 
1663, 47, 47, 3, 1 
1712, 53, 53, 3, 1 
1759, 61, 61, 3, 1 
1803, 71, 71, 3, 1 
1843, 84, 84, 3, 1 
1879, 101, 101, 3, 1 
1910, 123, 123, 3, 1 
1934, 152, 152, 3, 1 
1949, 189, 189, 3, 1 
1954, 236, 236, 3, 1 
1947, 296, 296, 3, 1 
1924, 370, 370, 3, 1 
1884, 459, 459, 3, 1 
1824, 562, 562, 3, 1 
1743, 674, 674, 4, 1 
1643, 786, 786, 5, 1 
1528, 884, 884, 8, 1 
1405, 952, 952, 13, 2 
1284, 976, 976, 23, 4 
1173, 950, 950, 42, 8 
1080, 877, 877, 76, 17 
1007, 767, 767, 130, 34 
956, 635, 635, 205, 61 
926, 495, 495, 289, 96 
915, 363, 363, 356, 127 
919, 254, 254, 379, 138 
937, 176, 176, 352, 124 
965, 125, 125, 293, 94 
1000, 94, 94, 227, 62 
1040, 75, 75, 168, 38 
1083, 63, 63, 121, 22 
1129, 55, 55, 86, 12 
1177, 50, 50, 60, 7 
1226, 47, 47, 42, 4 
1276, 45, 45, 29, 3 
1327, 44, 44, 20, 2 
